name,latitude,longitude,icon
American Red Cross (ARC),37.7749,-122.4194,plus-alt
Building Owners and Managers Association (BOMA – SF),37.7943,-122.4035,plus-alt
California Highway Patrol (CHP),37.7652,-122.4191,plus-alt
Mayor’s Office (MO),37.7749,-122.4194,plus-alt
Municipal Transportation Agency (MTA),37.7749,-122.4194,plus-alt
Neighborhood Emergency Response Team (NERT),37.7749,-122.4194,plus-alt
Port of San Francisco (Port),37.7749,-122.4194,plus-alt
Public Utilities Commission (PUC),37.7749,-122.4194,plus-alt
San Francisco Animal Care and Control (ACC),37.7232,-122.4041,plus-alt
San Francisco Department of Building Inspection (DBI),37.7943,-122.4035,plus-alt
San Francisco Department of Emergency Management (DEM),37.7749,-122.4194,plus-alt
San Francisco Department of Public Health (DPH),37.7749,-122.4194,plus-alt
San Francisco Department of Public Works (DPW),37.7749,-122.4194,plus-alt
San Francisco Fire Department (SFFD),37.7749,-122.4194,plus-alt
San Francisco Giants / AT&T Park (SFG/ATTP),37.7784,-122.3893,plus-alt
San Francisco Human Services Agency (HSA),37.7749,-122.4194,plus-alt
San Francisco Office of the Chief Medical Examiner (OCME),37.7749,-122.4194,plus-alt
San Francisco Police Department (SFPD),37.7749,-122.4194,plus-alt
San Francisco Sheriff’s Department (SFSD),37.7749,-122.4194,plus-alt
San Francisco Unified School District (SFUSD),37.7749,-122.4194,plus-alt
United States Coast Guard (USCG),37.7749,-122.4194,plus-alt
